year,site,sex,WL,DOY,snow,snow.1,mayjun,mayaug.1
1996,4,m,19.21,210,158.8,NA,-1.7558,NA
1996,4,m,17.43,210,158.8,NA,-1.7558,NA
1996,4,m,17.72,210,158.8,NA,-1.7558,NA
1996,4,f,18.86,210,158.8,NA,-1.7558,NA
1996,4,f,19.67,210,158.8,NA,-1.7558,NA
1996,4,m,17.41,210,158.8,NA,-1.7558,NA
1996,4,m,17.39,210,158.8,NA,-1.7558,NA
1996,4,f,18.7,210,158.8,NA,-1.7558,NA
1996,4,m,18.14,210,158.8,NA,-1.7558,NA
1996,4,f,18.86,210,158.8,NA,-1.7558,NA
1996,4,f,18.25,210,158.8,NA,-1.7558,NA
1996,4,m,17.29,210,158.8,NA,-1.7558,NA
1996,4,m,17.9,210,158.8,NA,-1.7558,NA
1996,4,f,19.18,210,158.8,NA,-1.7558,NA
1996,4,f,19.76,210,158.8,NA,-1.7558,NA
1996,4,m,18.16,210,158.8,NA,-1.7558,NA
1996,4,f,19.17,210,158.8,NA,-1.7558,NA
1996,4,m,18.03,210,158.8,NA,-1.7558,NA
1996,4,f,18.87,210,158.8,NA,-1.7558,NA
1996,4,m,18.78,217,158.8,NA,-1.7558,NA
1996,4,m,17.94,217,158.8,NA,-1.7558,NA
1996,4,m,19.06,217,158.8,NA,-1.7558,NA
1996,4,m,19.08,217,158.8,NA,-1.7558,NA
1996,4,f,20.1,217,158.8,NA,-1.7558,NA
1996,4,f,19.52,217,158.8,NA,-1.7558,NA
1996,4,f,18.93,217,158.8,NA,-1.7558,NA
1996,4,f,19.42,217,158.8,NA,-1.7558,NA
1996,4,m,17.84,217,158.8,NA,-1.7558,NA
1996,4,m,18.43,217,158.8,NA,-1.7558,NA
1996,4,m,18.15,217,158.8,NA,-1.7558,NA
1996,4,f,18.15,217,158.8,NA,-1.7558,NA
1996,4,f,19.66,217,158.8,NA,-1.7558,NA
1996,4,f,19.25,217,158.8,NA,-1.7558,NA
1996,4,f,19.28,217,158.8,NA,-1.7558,NA
1996,4,f,19.15,217,158.8,NA,-1.7558,NA
1996,4,f,18.71,217,158.8,NA,-1.7558,NA
1996,4,m,17.7,217,158.8,NA,-1.7558,NA
1996,4,f,19.57,217,158.8,NA,-1.7558,NA
1996,4,f,19.14,217,158.8,NA,-1.7558,NA
1996,4,f,19.89,217,158.8,NA,-1.7558,NA
1996,4,m,18.1,217,158.8,NA,-1.7558,NA
1996,4,m,17.94,217,158.8,NA,-1.7558,NA
1996,4,m,18.65,217,158.8,NA,-1.7558,NA
1996,4,f,20.2,217,158.8,NA,-1.7558,NA
1996,4,m,18.45,217,158.8,NA,-1.7558,NA
1996,4,f,19.51,224,158.8,NA,-1.7558,NA
1996,4,m,19.22,224,158.8,NA,-1.7558,NA
