chick.id,nest,year,egg.id,is.parasite,hatch.order,egg.vol,egg.seq,chin_chroma
6243-4,6243,2006,4,FALSE,3,31.68963462,NA,0.723821717
6243-5,6243,2006,5,FALSE,4,31.20123034,NA,0.708649683
6243-6,6243,2006,6,FALSE,3,31.3208768,NA,0.767936983
6243-7,6243,2006,7,FALSE,5,NA,NA,0.777471367
6243-8,6243,2006,8,FALSE,5,31.50922184,NA,0.725859817
6243-9,6243,2006,9,FALSE,6,29.82563298,NA,0.738674567
6244-1,6244,2006,1,FALSE,1,32.37458634,NA,0.714493417
6244-2,6244,2006,2,FALSE,1,32.4264974,NA,0.68348925
6245-3,6245,2006,3,FALSE,1,32.1644202,NA,0.6336316
6245-5,6245,2006,5,FALSE,1,33.25228419,NA,0.6933488
6246-1,6246,2006,1,FALSE,2,34.13515981,NA,0.72902585
6246-10,6246,2006,10,FALSE,5,33.37900424,NA,0.7537239
6246-2,6246,2006,2,FALSE,2,33.55664,NA,0.72217375
6246-3,6246,2006,3,FALSE,1,31.8523208,NA,0.733165733
6246-4,6246,2006,4,FALSE,2,33.5920503,NA,0.72448425
6246-5,6246,2006,5,FALSE,4,33.63716114,NA,0.737121583
6246-6,6246,2006,6,FALSE,4,34.40080998,NA,0.715842667
6246-7,6246,2006,7,FALSE,6,32.93289466,NA,0.745348767
6246-8,6246,2006,8,FALSE,7,32.3122624,NA,0.7471815
6246-9,6246,2006,9,FALSE,7,32.25057416,NA,0.73760125
6247-1,6247,2006,1,FALSE,1,27.59480955,NA,0.680555667
6247-4,6247,2006,4,FALSE,1,31.93153195,NA,0.7129765
6247-5,6247,2006,5,FALSE,4,31.4488007,NA,0.70235925
6247-7,6247,2006,7,FALSE,4,30.8953598,NA,0.72695765
6253-7,6253,2006,7,FALSE,2,32.30490419,NA,0.7038679
6254-4,6254,2006,4,FALSE,1,28.52082781,NA,0.755247517
6260-1,6260,2006,1,FALSE,1,28.23163008,NA,0.666019567
6260-2,6260,2006,2,FALSE,1,29.7439053,NA,0.659450567
6260-3,6260,2006,3,FALSE,2,29.9383988,NA,0.72710665
6260-4,6260,2006,4,FALSE,3,29.86565127,NA,0.741268717
6260-5,6260,2006,5,FALSE,1,31.24611766,NA,0.746026633
6260-6,6260,2006,6,FALSE,3,29.2770954,NA,0.739400217
