"new.id","Egg.ID","Brood","Brood.Treatment","Clutch","Release.Date","Release.Order","Wetland","Year","is.parasite"
"5023-7","7",5023,"50/50","5023","6/6/09",3,"Riske 42",2005,FALSE
"5023-8","8",5023,"50/50","5023","6/7/09",4,"Riske 42",2005,FALSE
"5023-10","10",5023,"50/50","5023","6/8/09",5,"Riske 42",2005,FALSE
"5023-9","9",5023,"50/50","5023","6/8/09",5,"Riske 42",2005,FALSE
"5023-11","11",5023,"50/50","5023","6/9/09",6,"Riske 42",2005,FALSE
"5024-1","1",5024,"Control","5024","6/6/09",1,"Riske 42",2005,FALSE
"5024-2","2",5024,"Control","5024","6/6/09",1,"Riske 42",2005,FALSE
"5024-3","3",5024,"Control","5024","6/6/09",1,"Riske 42",2005,FALSE
"5024-5","5",5024,"Control","5024","6/7/09",2,"Riske 42",2005,FALSE
"5024-6","6",5024,"Control","5024","6/7/09",2,"Riske 42",2005,FALSE
"5024-8","8",5024,"Control","5024","6/8/09",3,"Riske 42",2005,FALSE
"5024-9","9",5024,"Control","5024","6/9/09",4,"Riske 42",2005,FALSE
"5024-10","10",5024,"Control","5024","6/10/09",5,"Riske 42",2005,FALSE
"5004-P12","P12",5026,"Synchrony","5004","6/9/09",1,"Jaimeson",2005,TRUE
"5026-1","1",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,FALSE
"5026-2","2",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,FALSE
"5026-3","3",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,FALSE
"5026-4","4",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,FALSE
"5026-5","5",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,FALSE
"5026-P1","P1",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,TRUE
"5026-P2","P2",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,TRUE
"5026-P3","P3",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,TRUE
"5026-P4","P4",5026,"Synchrony","5026","6/9/09",1,"Jaimeson",2005,TRUE
"5029-3","3",5026,"Synchrony","5029","6/9/09",1,"Jaimeson",2005,FALSE
"5X10-GO","",5026,"Synchrony","5X10","6/9/09",1,"Jaimeson",2005,FALSE
"5X10-PY","",5026,"Synchrony","5X10","6/9/09",1,"Jaimeson",2005,FALSE
"5X10-RB","",5026,"Synchrony","5X10","6/9/09",1,"Jaimeson",2005,FALSE
"5X10-RW","",5026,"Synchrony","5X10","6/9/09",1,"Jaimeson",2005,FALSE
"5026-8","8",5026,"Synchrony","5026","6/11/09",3,"Jaimeson",2005,FALSE
"5026-9","9",5026,"Synchrony","5026","6/11/09",3,"Jaimeson",2005,FALSE
"5026-10","10",5026,"Synchrony","5026","6/12/09",4,"Jaimeson",2005,FALSE
"5027-6","6",5027,"Control","5027.1","7/2/09",NA,"Jaimeson",2005,FALSE
"5027-7","7",5027,"Control","5027.1","7/2/09",NA,"Jaimeson",2005,FALSE
"5027-4","4",5027,"Control","5027.1","7/3/09",NA,"Jaimeson",2005,FALSE
"5028-1","1",5028,"Control","5028","6/5/09",1,"Jaimeson",2005,FALSE
"5028-2","2",5028,"Control","5028","6/5/09",1,"Jaimeson",2005,FALSE
"5028-3","3",5028,"Control","5028","6/5/09",1,"Jaimeson",2005,FALSE
"5028-4","4",5028,"Control","5028","6/5/09",1,"Jaimeson",2005,FALSE
"5028-5","5",5028,"Control","5028","6/6/09",2,"Jaimeson",2005,FALSE
"5028-6","6",5028,"Control","5028","6/7/09",3,"Jaimeson",2005,FALSE
"5028-7","7",5028,"Control","5028","6/7/09",3,"Jaimeson",2005,FALSE
"5028-8","8",5028,"Control","5028","6/8/09",4,"Jaimeson",2005,FALSE
"5002-P2","P2",5029,"Synchrony","5002","6/8/09",1,"Riske 42",2005,TRUE
"5004-P14","P14",5029,"Synchrony","5004","6/8/09",1,"Riske 42",2005,TRUE
"5029-1","1",5029,"Synchrony","5029","6/8/09",1,"Riske 42",2005,FALSE
"5D1-BB","",5029,"Synchrony","5D1","6/8/09",1,"Riske 42",2005,FALSE
"5D1-OO","",5029,"Synchrony","5D1","6/8/09",1,"Riske 42",2005,FALSE
"5D1-WW","",5029,"Synchrony","5D1","6/8/09",1,"Riske 42",2005,FALSE
"5D1-YY","",5029,"Synchrony","5D13","6/8/09",1,"Riske 42",2005,FALSE
"5029-4","4",5029,"Synchrony","5029","6/9/09",2,"Riske 42",2005,FALSE
"5002-P3","P3",5030,"Synchrony","5002","6/14/09",1,"Jaimeson",2005,TRUE
"5030-9","9",5030,"Synchrony","5030","6/14/09",1,"Jaimeson",2005,FALSE
"5030-10","10",5030,"Synchrony","5030","6/15/09",2,"Jaimeson",2005,FALSE
"5030-4","4",5030,"Synchrony","5030","6/15/09",2,"Jaimeson",2005,FALSE
"5030-6","6",5030,"Synchrony","5030","6/15/09",2,"Jaimeson",2005,FALSE
"5030-8","8",5030,"Synchrony","5030","6/15/09",2,"Jaimeson",2005,FALSE
"5044-5","5",5030,"Synchrony","5044","6/15/09",2,"Jaimeson",2005,FALSE
"5E11-GG","",5030,"Synchrony","5.00E+11","6/15/09",2,"Jaimeson",2005,FALSE
"5E19-RR","",5030,"Synchrony","5.00E+19","6/15/09",2,"Jaimeson",2005,FALSE
"5E5-YY","A",5030,"Synchrony","500000","6/15/09",2,"Jaimeson",2005,FALSE
"5031-2","2",5031,"Control","5031","6/7/09",1,"Jaimeson",2005,FALSE
"5031-P1","P1",5031,"Control","5031","6/7/09",1,"Jaimeson",2005,TRUE
"5031-3","3",5031,"Control","5031","6/8/09",2,"Jaimeson",2005,FALSE
"5031-P2","P2",5031,"Control","5031","6/8/09",2,"Jaimeson",2005,TRUE
"5031-4","4",5031,"Control","5031","6/9/09",3,"Jaimeson",2005,FALSE
"5031-5","5",5031,"Control","5031","6/9/09",3,"Jaimeson",2005,FALSE
"5031-7","7",5031,"Control","5031","6/10/09",4,"Jaimeson",2005,FALSE
"5031-8","8",5031,"Control","5031","6/11/09",5,"Jaimeson",2005,FALSE
"5032-1","1",5032,"Control","5032.1","6/21/09",1,"Jaimeson",2005,FALSE
"5032-2","2",5032,"Control","5032.1","6/21/09",1,"Jaimeson",2005,FALSE
"5032-3","3",5032,"Control","5032.1","6/21/09",1,"Jaimeson",2005,FALSE
"5032-5","5",5032,"Control","5032.1","6/23/09",3,"Jaimeson",2005,FALSE
"5032-6","6",5032,"Control","5032.1","6/23/09",3,"Jaimeson",2005,FALSE
"5032-8","8",5032,"Control","5032.1","6/28/09",8,"Jaimeson",2005,FALSE
"5037-A","1to3",5037,"Control","5037","6/8/09",1,"Riske 42",2005,FALSE
"5037-B","1to3",5037,"Control","5037","6/8/09",1,"Riske 42",2005,FALSE
"5037-C","1to3",5037,"Control","5037","6/8/09",1,"Riske 42",2005,FALSE
"5037-4","4",5037,"Control","5037","6/9/09",2,"Riske 42",2005,FALSE
"5037-5","5",5037,"Control","5037","6/9/09",2,"Riske 42",2005,FALSE
"5037-6","6",5037,"Control","5037","6/9/09",2,"Riske 42",2005,FALSE
"5037-7","7",5037,"Control","5037","6/10/09",3,"Riske 42",2005,FALSE
"5037-8","8",5037,"Control","5037","6/11/09",4,"Riske 42",2005,FALSE
"5037-9","9",5037,"Control","5037","6/12/09",5,"Riske 42",2005,FALSE
"5037-10","10",5037,"Control","5037","6/14/09",7,"Riske 42",2005,FALSE
"5037-P1","P1",5037,"Control","5037","6/15/09",8,"Riske 42",2005,TRUE
"5039-4","4",5039,"Control","5039","6/2/09",1,"Jaimeson",2005,FALSE
"5039-5","5",5039,"Control","5039","6/2/09",1,"Jaimeson",2005,FALSE
"5039-6","6",5039,"Control","5039","6/2/09",1,"Jaimeson",2005,FALSE
"5039-7","7",5039,"Control","5039","6/2/09",1,"Jaimeson",2005,FALSE
"5039-1","1",5039,"Control","5039","6/4/09",3,"Jaimeson",2005,FALSE
"5039-2","2",5039,"Control","5039","6/5/09",4,"Jaimeson",2005,FALSE
"5039-3","3",5039,"Control","5039","6/5/09",4,"Jaimeson",2005,FALSE
"5039-8","8",5039,"Control","5039","6/6/09",5,"Jaimeson",2005,FALSE
"5044-3","3",5044,"Synchrony","5044","6/15/09",1,"Jaimeson",2005,FALSE
"5044-4","4",5044,"Synchrony","5044","6/15/09",1,"Jaimeson",2005,FALSE
"5044-6","6",5044,"Synchrony","5044","6/15/09",1,"Jaimeson",2005,FALSE
"5030-5","5",5044,"Synchrony","5030","6/16/09",2,"Jaimeson",2005,FALSE
"5E11-WW","",5044,"Synchrony","5.00E+11","6/16/09",2,"Jaimeson",2005,FALSE
"5E19-BB","A",5044,"Synchrony","5.00E+19","6/16/09",2,"Jaimeson",2005,FALSE
"5045-1","1",5045,"Control","5045","6/6/09",1,"Riske 42",2005,FALSE
"5045-4","4",5045,"Control","5045","6/8/09",3,"Riske 42",2005,FALSE
"5045-5","5",5045,"Control","5045","6/9/09",4,"Riske 42",2005,FALSE
"5045-6","6",5045,"Control","5045","6/10/09",5,"Riske 42",2005,FALSE
"5045-7","7",5045,"Control","5045","6/11/09",6,"Riske 42",2005,FALSE
"5045-8","8",5045,"Control","5045","6/11/09",6,"Riske 42",2005,FALSE
"5045-9","9",5045,"Control","5045","6/12/09",7,"Riske 42",2005,FALSE
"5046-A","2,3,4",5046,"Control","5046","6/13/09",1,"Jaimeson",2005,FALSE
"5046-B","2,3,4",5046,"Control","5046","6/13/09",1,"Jaimeson",2005,FALSE
"5046-5","5",5046,"Control","5046","6/14/09",2,"Jaimeson",2005,FALSE
"5046-C","2,3or4",5046,"Control","5046","6/14/09",2,"Jaimeson",2005,FALSE
"5046-6","6",5046,"Control","5046","6/15/09",3,"Jaimeson",2005,FALSE
"5046-7","7",5046,"Control","5046","6/16/09",4,"Jaimeson",2005,FALSE
"5046-8","8",5046,"Control","5046","6/16/09",4,"Jaimeson",2005,FALSE
"5026-6","6",5047,"Synchrony","5026","6/10/09",1,"Jaimeson",2005,FALSE
"5026-7","7",5047,"Synchrony","5026","6/10/09",1,"Jaimeson",2005,FALSE
"5029-2","2",5047,"Synchrony","5029","6/10/09",1,"Jaimeson",2005,FALSE
"5050-2","2",5047,"Synchrony","5050","6/10/09",1,"Jaimeson",2005,FALSE
"5X11-BB","D11-11",5047,"Synchrony","5X11","6/10/09",1,"Jaimeson",2005,FALSE
"5X11-RR","D11-11",5047,"Synchrony","5X11","6/10/09",1,"Jaimeson",2005,FALSE
"5048-1","1",5048,"Control","5048.1","6/20/09",1,"Riske 42",2005,FALSE
"5048-2","2",5048,"Control","5048.1","6/20/09",1,"Riske 42",2005,FALSE
"5048-3","3",5048,"Control","5048.1","6/20/09",1,"Riske 42",2005,FALSE
"5048-4","4",5048,"Control","5048.1","6/21/09",2,"Riske 42",2005,FALSE
"5048-5","5",5048,"Control","5048.1","6/21/09",2,"Riske 42",2005,FALSE
"5048-8","8",5048,"Control","5048.1","6/24/09",5,"Riske 42",2005,FALSE
"5048-9","9",5048,"Control","5048.1","6/26/09",7,"Riske 42",2005,FALSE
"5049-1","1",5049,"Control","5049.4","6/22/09",1,"Jaimeson",2005,FALSE
"5049-3","3",5049,"Control","5049.4","6/24/09",3,"Jaimeson",2005,FALSE
"5049-4","4",5049,"Control","5049.4","6/24/09",3,"Jaimeson",2005,FALSE
"5049-5","5",5049,"Control","5049.4","6/25/09",4,"Jaimeson",2005,FALSE
"5049-7","7",5049,"Control","5049.4","6/27/09",6,"Jaimeson",2005,FALSE
"5050-1","1",5050,NA,"5050","6/11/09",NA,"Jaimeson",2005,FALSE
"5050-5","5",5050,NA,"5050","6/12/09",NA,"Jaimeson",2005,FALSE
"5050-6","6",5050,NA,"5050","6/12/09",NA,"Jaimeson",2005,FALSE
"5053-1","1",5053,"Control","5053","6/17/09",1,"Jaimeson",2005,FALSE
"5053-3","3",5053,"Control","5053","6/17/09",1,"Jaimeson",2005,FALSE
"5053-2","2",5053,"Control","5053","6/18/09",2,"Jaimeson",2005,FALSE
"5053-4","4",5053,"Control","5053","6/18/09",2,"Jaimeson",2005,FALSE
"5053-5","5",5053,"Control","5053","6/18/09",2,"Jaimeson",2005,FALSE
"5053-6","6",5053,"Control","5053","6/19/09",3,"Jaimeson",2005,FALSE
"5053-7","7",5053,"Control","5053","6/19/09",3,"Jaimeson",2005,FALSE
"5053-8","8",5053,"Control","5053","6/20/09",4,"Jaimeson",2005,FALSE
"5053-9","9",5053,"Control","5053","6/21/09",5,"Jaimeson",2005,FALSE
"5054-4","4",5054,"Control","5054.1","6/16/09",1,"Riske 42",2005,FALSE
"5054-1","1",5054,"Control","5054.1","6/17/09",2,"Riske 42",2005,FALSE
"5054-3","3",5054,"Control","5054.1","6/17/09",2,"Riske 42",2005,FALSE
"5054-5","5",5054,"Control","5054.1","6/17/09",2,"Riske 42",2005,FALSE
"5054-6","6",5054,"Control","5054.1","6/18/09",3,"Riske 42",2005,FALSE
"5054-7","7",5054,"Control","5054.1","6/18/09",3,"Riske 42",2005,FALSE
"5054-8","8",5054,"Control","5054.1","6/19/09",4,"Riske 42",2005,FALSE
"5054-9","9",5054,"Control","5054.1","6/20/09",5,"Riske 42",2005,FALSE
"5054-10","10",5054,"Control","5054.1","6/21/09",6,"Riske 42",2005,FALSE
"5055-12","12",5055,"Control","5055","6/26/09",NA,"Riske 42",2005,FALSE
"5055-10","10",5055,"Control","5055","6/27/09",NA,"Riske 42",2005,FALSE
"5055-6","6",5055,"Control","5055","6/27/09",NA,"Riske 42",2005,FALSE
"5030-2","2",5056,"Synchrony","5030","6/16/09",1,"Jaimeson",2005,FALSE
"5E14-GG","A",5056,"Synchrony","5.00E+14","6/16/09",1,"Jaimeson",2005,FALSE
"5E14-PP","B",5056,"Synchrony","5.00E+14","6/16/09",1,"Jaimeson",2005,FALSE
"5E5-BB","B",5056,"Synchrony","5.00E+05","6/16/09",1,"Jaimeson",2005,FALSE
"5009-P7","P7",5056,"Synchrony","5009.1","6/17/09",2,"Jaimeson",2005,TRUE
"5E19-YY","B",5056,"Synchrony","5.00E+19","6/17/09",2,"Jaimeson",2005,FALSE
"5057-9","9",5057,"Control","5057","6/24/09",1,"Riske 42",2005,FALSE
