new.id,beak_brightness,beak_chroma,beak_hue,chin_brightness,chin_chroma,chin_hue,papillae_brightness,papillae_chroma,papillae_hue,pate_brightness,pate_chroma,pate_hue,shield_brightness,shield_chroma,shield_hue,PC1,PC2
5008-5,12592.6025,0.83113175,580.3625,11930.2505,0.6801934,566.545,9360.7565,0.8390536,592.64,12804.61,0.48942725,590.16,3047.397333,0.827959967,612.19,1.082255905,-0.235096106
5008-6,12689.50133,0.7986295,574.79,9512.6985,0.7195458,566.6033333,4525.404,0.9436127,590.19,12027.871,0.4840831,587.6825,5547.9,0.812667,607.8,2.930325182,0.793446573
5008-7,10541.38825,0.7576221,590.1225,11589.87133,0.72264505,571.0666667,11982.9075,0.747652125,587.9125,12503.11,0.484710475,588.475,8783.041667,0.749880433,605.19,0.240905569,0.398387222
5008-P1,14986.955,0.7702404,588.9275,10318.88483,0.7381072,573.1083333,9020.376667,0.868421267,593.52,16166.6575,0.451389625,587.935,12463.0315,0.61874565,594.685,2.15589477,1.456569729
5009-1,12143.38333,0.782977367,589.51,11458.801,0.741390267,571.4333333,8873.03625,0.83396495,584.4175,16924.4625,0.544466675,586.43,7887.091,0.8662711,599.18,1.411831868,0.574916938
5009-2,11816.3315,0.785514775,590.63,12056.99483,0.668471833,563.5783333,12719.83,0.813159775,586.5525,13054.907,0.473875425,589.92,10452.325,0.714489767,590.8,-0.571463803,0.052111784
5009-3,9694.18275,0.764386725,591.5925,13026.55083,0.686861967,565.68,9359.14,0.83938345,585.345,12703.5625,0.514027,589.68,8002.491667,0.655369733,590.16,0.537893904,0.159386651
5009-4,11340.455,0.803973225,589.68,10684.92433,0.6821382,566.9916667,9228.88225,0.849701275,591.1825,13777.6105,0.522063275,590.6825,7420.74,0.8217001,598.18,1.346075161,0.547651948
5009-5,21695.88,0.6356394,569.09,10631.35783,0.704984383,565.3816667,11864.12325,0.75561225,584.4225,10679.337,0.4456599,587.925,7562.358,0.704745,599.18,-2.856596954,2.411550979
5009-6,10819.81375,0.772509875,575.1275,9350.831167,0.702817,575.1183333,8492.0375,0.788084275,591.185,15698.82,0.489966425,588.6825,9940.853,0.645752467,593.52,1.496778894,0.720679978
5009-7,12077.51433,0.807503733,580.8266667,10099.65533,0.705231267,562.6316667,9653.22525,0.84113625,587.93,17631.3125,0.49486135,590.94,3731.561667,0.857050367,599.18,0.750209792,0.129105414
5009-8,24275.695,0.6033664,591.675,13120.3294,0.68320964,556.418,9550.4015,0.836212625,581.4075,17433.1625,0.476691425,586.68,NA,NA,NA,NA,NA
5009-P2,18298.94,0.734855725,563.03,12748.587,0.6619752,557.1833333,10563.8105,0.840422125,578.4,17374.6625,0.4464822,586.6825,7157.1245,0.75251905,595.185,-2.689526518,0.153162245
5009-P3,11447.74,0.78804765,579.15,13240.54067,0.696939817,570.255,8457.80475,0.818186,584.925,12448.146,0.4309049,588.435,5581.464333,0.7581881,603.1633333,0.634283599,-0.248849326
5009-P4,12058.71725,0.7530129,565.515,15316.83167,0.5951406,553.3683333,13377.77,0.774683325,576.02,12166.2025,0.44247815,588.155,6147.828667,0.739492333,593.1466667,-4.226475957,-1.573890745
5009-P5,13615.075,0.73160755,587.57,10458.1165,0.681385417,568.91,8170.32325,0.81539825,582.8575,12708.071,0.500625725,590.64,4815.826667,0.713113133,602.1,-0.048146607,1.645763993
5009-P6,10480.59175,0.83872765,587.1575,14399.24167,0.689071383,566.28,9780.775,0.873906567,582.83,14273.4175,0.427003325,613.89,3908.4785,0.94901135,599.68,0.809342862,-1.109311322
5009-P7,12144.40775,0.79129305,581.3275,12248.77883,0.65112405,567.495,10163.877,0.777419775,584.8625,17135.58,0.415197725,584.625,4981.739667,0.7128157,592.83,-0.670777557,0.024787725
5010-4,11698.63925,0.799470839,587.345,9071.1105,0.732611051,567.0833333,10676.7775,0.797655253,590.64,19662.991,0.447623252,586.8725,3597.262,0.802873883,601.13,1.210584505,0.626012764
5010-5,18223.577,0.75299009,575.535,18596.838,0.734079261,570.8533333,21458.159,0.8066192,580.365,13395.17,0.498340623,586.3125,4443.426667,0.868453503,601.78,-3.027472586,-2.009451773
5010-6,12583.524,0.839491046,581.16,11214.475,0.769082082,567.9116667,9947.503,0.863659362,593.6825,15952.878,0.497095947,587.18,5080.241,0.894707707,599.18,2.497038038,-0.417573095
5010-7,10137.5365,0.822515671,581.0875,10161.012,0.718857377,571.1166667,9629.71675,0.687688756,613.1175,11384.129,0.517092506,586.8725,9157.393667,0.786169545,596.7733333,2.543151116,0.279989368
5010-8,12431.52675,0.786613037,588.86,10813.85,0.661420764,566.91,9361.54975,0.800048939,592.4,12502.224,0.469780606,588.8775,3074.857333,0.953797096,604.44,0.49916852,0.900796518
5011-1,14329.5665,0.787178618,589.35,14783.96667,0.707932703,565.8916667,13737.6955,0.770312771,582.1325,14761.021,0.435676587,587.115,3154.983,0.999798964,607.1,-1.380679902,-0.515123761
5011-2,14252.81875,0.768287109,589.4075,13081.40817,0.766513821,568.58,9269.958,0.854461024,585.8433333,14587.045,0.429222268,587.4325,6019.358,0.745216449,599.18,1.258787352,0.476284484
5011-3,12242.61725,0.796722994,587.925,11979.57933,0.7588893,568.9166667,8822.33375,0.865687647,590.69,14805.94325,0.430493887,586.43,4421.4885,0.87610299,599.68,2.235962609,0.233989863
5011-4,13467.7475,0.751389725,582.5925,11204.90883,0.672267801,568.8616667,10865.438,0.696568691,583.82,12737.05175,0.495750172,588.8775,4174.663333,0.856093758,601.7833333,-1.535203268,0.832495518
5011-5,11871.368,0.801856291,570.3475,12593.74317,0.726799931,566.9533333,8972.5975,0.845882774,586.4275,16127.24375,0.472242203,587.18,6031.015333,0.785373315,598.8466667,0.974285016,-0.766627614
5011-6,11196.588,0.780096073,587.09,10366.18667,0.701132714,570.74,9229.5055,0.780993839,583.58,16028.04925,0.404331397,587.595,NA,NA,NA,NA,NA
5011-7,11901.0705,0.815985296,583.4175,13056.98683,0.719178819,564.145,10308.9615,0.769178248,585.425,15583.09675,0.455093172,587.6825,4323.371,0.865233318,599.18,-0.031451511,-0.62073176
5012-1,13174.323,0.839266631,580.155,15810.41217,0.667996573,561.6216667,12591.46375,0.745897161,582.665,16979.5665,0.439903425,586.68,5880.402,0.730819056,606.81,-1.856810289,-1.653806052
5012-4,11846.5495,0.80713101,594.9275,12555.1576,0.657774626,564.566,11708.77275,0.787688979,585.675,13748.39475,0.446528286,585.9275,5461.508333,0.822849346,599.18,-0.595792165,0.071178581
